с,В
0.0006,0.0102
0.0113,0.0051
0.0220,0.0051
0.0329,0.0000
0.0435,0.0051
0.0542,0.0051
0.0649,0.0000
0.0756,0.0152
0.0864,0.0000
0.0973,0.0152
0.1080,0.0000
0.1187,0.0152
0.1294,0.0000
0.1401,0.0102
0.1509,0.0000
0.1617,0.0051
0.1724,0.0000
0.1833,0.0000
0.1960,0.0102
0.2067,0.0000
0.2175,0.0102
0.2283,0.0000
0.2391,0.0102
0.2497,0.0000
0.2604,0.0102
0.2710,0.0051
0.2816,0.0000
0.2923,0.0051
0.3030,0.0000
0.3136,0.0102
0.3243,0.0000
0.3349,0.0102
0.3455,0.0000
0.3561,0.0102
0.3667,0.0000
0.3773,0.0152
0.3878,0.0000
0.3984,0.0102
0.4090,0.0000
0.4196,0.0102
0.4302,0.0000
0.4408,0.0051
0.4513,0.0051
0.4619,0.0051
0.4725,0.0102
0.4831,0.0000
0.4937,0.0102
0.5043,0.0000
0.5148,0.0102
0.5254,0.0000
0.5360,0.0102
0.5466,0.0000
0.5572,0.0102
0.5678,0.0000
0.5784,0.0102
0.5889,0.0000
0.5995,0.0102
0.6106,0.0000
0.6212,0.0051
0.6318,0.0051
0.6424,0.0000
0.6529,0.0102
0.6635,0.0000
0.6741,0.0102
0.6847,0.0000
0.6953,0.0102
0.7058,0.0000
0.7165,0.0152
0.7271,0.0000
0.7377,0.0152
0.7483,0.0000
0.7589,0.0102
0.7695,0.0000
0.7801,0.0102
0.7908,0.0000
0.8015,0.0000
0.8121,0.0102
0.8227,0.0000
0.8333,0.0051
0.8439,0.0000
0.8545,0.0152
0.8651,0.0000
0.8758,0.0102
0.8864,0.0000
0.8970,0.0102
0.9076,0.0000
0.9182,0.0102
0.9288,0.0000
0.9394,0.0102
0.9500,0.0000
0.9606,0.0051
0.9712,0.0102
0.9818,0.0000
0.9924,0.0051
1.0030,0.0000
1.0136,0.0102
1.0242,0.0000
1.0348,0.0102
1.0454,0.0000
1.0561,0.0152
1.0667,0.0000
1.0773,0.0051
1.0880,0.0000
1.0986,0.0102
1.1092,0.0000
1.1198,0.0051
1.1304,0.0051
1.1410,0.0000
1.1516,0.0102
1.1622,0.0000
1.1729,0.0051
1.1835,0.0000
1.1941,0.0102
1.2047,0.0000
1.2153,0.0152
1.2259,0.0000
1.2365,0.0102
1.2471,0.0000
1.2577,0.0102
1.2683,0.0000
1.2789,0.0102
1.2897,0.0051
1.3003,0.0051
1.3111,0.0051
1.3219,0.0000
1.3326,0.0102
1.3433,0.0000
1.3539,0.0102
1.3646,0.0000
1.3752,0.0152
1.3858,0.0000
1.3964,0.0102
1.4070,0.0000
1.4176,0.0102
1.4282,0.0000
1.4389,0.0051
1.4495,0.0051
1.4601,0.0051
1.4707,0.0102
1.4813,0.0051
1.4920,0.0102
1.5026,0.0000
1.5133,0.0152
1.5239,0.0000
1.5345,0.0051
1.5451,0.0000
1.5557,0.0152
1.5663,0.0000
1.5769,0.0152
1.5875,0.0000
1.5982,0.0152
1.6089,0.0000
1.6195,0.0051
1.6301,0.0102
1.6407,0.0000
1.6513,0.0051
1.6619,0.0000
1.6726,0.0102
1.6832,0.0000
1.6938,0.0102
1.7044,0.0000
1.7150,0.0152
1.7256,0.0000
1.7362,0.0102
1.7468,0.0000
1.7574,0.0051
1.7680,0.0000
1.7786,0.0051
1.7894,0.0000
1.8001,0.0051
1.8108,0.0051
1.8215,0.0000
1.8321,0.0102
1.8428,0.0000
1.8534,0.0102
1.8641,0.0000
1.8747,0.0102
1.8853,0.0000
1.8959,0.0102
1.9065,0.0000
1.9172,0.0152
1.9279,0.0000
1.9386,0.0051
1.9492,0.0000
1.9598,0.0051
1.9704,0.0051
1.9810,0.0000
1.9916,0.0102
2.0022,0.0000
2.0129,0.0051
2.0235,0.0000
2.0341,0.0152
2.0448,0.0000
2.0554,0.0051
2.0660,0.0000
2.0766,0.0152
2.0872,0.0000
2.0978,0.0102
2.1084,0.0000
2.1191,0.0102
2.1298,0.0102
2.1404,0.0000
2.1511,0.0051
2.1617,0.0000
2.1724,0.0102
2.1830,0.0000
2.1937,0.0102
2.2044,0.0000
2.2150,0.0102
2.2257,0.0000
2.2364,0.0102
2.2470,0.0000
2.2577,0.0102
2.2683,0.0051
2.2790,0.0051
2.2897,0.0051
2.3005,0.0051
2.3112,0.0102
2.3220,0.0000
2.3327,0.0102
2.3434,0.0000
2.3541,0.0152
2.3647,0.0000
2.3753,0.0102
2.3860,0.0000
2.3966,0.0152
2.4072,0.0000
2.4178,0.0102
2.4284,0.0000
2.4392,0.0051
2.4498,0.0102
2.4605,0.0000
2.4711,0.0102
2.4818,0.0000
2.4924,0.0102
2.5031,0.0000
2.5138,0.0102
2.5246,0.0000
2.5353,0.0152
2.5460,0.0000
2.5566,0.0102
2.5672,0.0000
2.5779,0.0102
2.5885,0.0051
2.5991,0.0000
2.6098,0.0051
2.6204,0.0000
2.6310,0.0102
2.6417,0.0000
2.6525,0.0152
2.6631,0.0000
2.6738,0.0152
2.6845,0.0000
2.6951,0.0102
2.7058,0.0000
2.7164,0.0102
2.7271,0.0000
2.7377,0.0102
2.7484,0.0051
2.7591,0.0000
2.7697,0.0051
2.7803,0.0000
2.7911,0.0102
2.8019,0.0000
2.8127,0.0102
2.8235,0.0000
2.8341,0.0152
2.8449,0.0000
2.8555,0.0152
2.8662,0.0000
2.8768,0.0102
2.8874,0.0000
2.8980,0.0051
2.9087,0.0051
2.9193,0.0000
2.9299,0.0051
2.9405,0.0000
2.9512,0.0051
2.9618,0.0000
2.9724,0.0102
2.9832,0.0000
2.9938,0.0152
3.0045,0.0000
3.0151,0.0102
3.0258,0.0000
3.0364,0.0102
3.0471,0.0000
3.0578,0.0051
3.0685,0.0051
3.0793,0.0000
3.0901,0.0102
3.1008,0.0000
3.1116,0.0102
3.1224,0.0000
3.1331,0.0102
3.1439,0.0000
3.1547,0.0152
3.1653,0.0000
3.1760,0.0102
3.1867,0.0000
3.1974,0.0051
3.2080,0.0051
3.2186,0.0051
3.2292,0.0051
3.2398,0.0000
3.2504,0.0102
3.2610,0.0000
3.2716,0.0102
3.2822,0.0000
3.2929,0.0102
3.3036,0.0000
3.3143,0.0152
3.3249,0.0000
3.3355,0.0102
3.3461,0.0000
3.3567,0.0051
3.3673,0.0000
3.3779,0.0051
3.3884,0.0051
3.3990,0.0000
3.4096,0.0102
3.4202,0.0000
3.4308,0.0102
3.4414,0.0000
3.4520,0.0102
3.4625,0.0000
3.4731,0.0102
3.4837,0.0000
3.4943,0.0102
3.5049,0.0000
3.5154,0.0102
3.5260,0.0000
3.5366,0.0051
3.5473,0.0051
3.5579,0.0051
3.5684,0.0102
3.5790,0.0000
3.5896,0.0051
3.6002,0.0000
3.6108,0.0102
3.6214,0.0000
3.6319,0.0102
3.6425,0.0000
3.6531,0.0051
3.6637,0.0000
3.6743,0.0102
3.6849,0.0000
3.6955,0.0102
3.7061,0.0000
3.7168,0.0102
3.7274,0.0051
3.7380,0.0051
3.7486,0.0102
3.7592,0.0000
3.7698,0.0102
3.7804,0.0000
3.7911,0.0051
3.8018,0.0000
3.8124,0.0102
3.8230,0.0000
3.8336,0.0152
3.8442,0.0000
3.8548,0.0102
3.8654,0.0000
3.8760,0.0102
3.8867,0.0051
3.8973,0.0051
3.9079,0.0102
3.9186,0.0051
3.9292,0.0102
3.9399,0.0000
3.9505,0.0102
3.9612,0.0051
3.9719,0.0102
3.9826,0.0000
3.9932,0.0051
4.0039,0.0000
4.0145,0.0102
4.0252,0.0000
4.0358,0.0051
4.0465,0.0000
4.0571,0.0051
4.0678,0.0051
4.0784,0.0000
4.0891,0.0102
4.0997,0.0000
4.1104,0.0102
4.1210,0.0000
4.1317,0.0102
4.1423,0.0000
4.1529,0.0102
4.1636,0.0000
4.1743,0.0102
4.1849,0.0000
4.1956,0.0051
4.2063,0.0000
4.2170,0.0051
4.2277,0.0051
4.2385,0.0000
4.2492,0.0051
4.2599,0.0000
4.2706,0.0152
4.2814,0.0000
4.2922,0.0102
4.3029,0.0000
4.3137,0.0102
4.3245,0.0000
4.3352,0.0102
4.3459,0.0000
4.3565,0.0051
4.3672,0.0051
4.3778,0.0000
4.3884,0.0102
4.3991,0.0000
4.4097,0.0102
4.4203,0.0000
4.4309,0.0102
4.4416,0.0000
4.4522,0.0102
4.4628,0.0000
4.4734,0.0102
4.4840,0.0000
4.4947,0.0102
4.5053,0.0051
4.5160,0.0051
4.5267,0.0000
4.5373,0.0051
4.5480,0.0000
4.5586,0.0000
4.5693,0.0152
4.5799,0.0000
4.5906,0.0102
4.6012,0.0000
4.6119,0.0152
4.6226,0.0000
4.6332,0.0152
4.6439,0.0000
4.6545,0.0051
