с,В
0.0006,0.0254
0.0114,0.0000
0.0222,0.0051
0.0330,0.0000
0.0437,0.0102
0.0544,0.0051
0.0651,0.0051
0.0758,0.0051
0.0866,0.0051
0.0975,0.0051
0.1083,0.0000
0.1191,0.0102
0.1300,0.0000
0.1408,0.0102
0.1515,0.0000
0.1622,0.0102
0.1732,0.0000
0.1841,0.0102
0.1949,0.0000
0.2056,0.0051
0.2163,0.0051
0.2271,0.0000
0.2378,0.0102
0.2484,0.0000
0.2591,0.0102
0.2697,0.0000
0.2803,0.0152
0.2909,0.0000
0.3015,0.0102
0.3121,0.0000
0.3227,0.0102
0.3333,0.0000
0.3439,0.0102
0.3545,0.0000
0.3651,0.0051
0.3757,0.0051
0.3863,0.0000
0.3969,0.0051
0.4075,0.0051
0.4181,0.0102
0.4287,0.0000
0.4393,0.0102
0.4498,0.0000
0.4605,0.0102
0.4711,0.0000
0.4819,0.0102
0.4926,0.0000
0.5033,0.0152
0.5139,0.0000
0.5245,0.0051
0.5351,0.0051
0.5457,0.0051
0.5563,0.0102
0.5669,0.0000
0.5775,0.0051
0.5881,0.0000
0.5987,0.0102
0.6093,0.0000
0.6199,0.0102
0.6305,0.0000
0.6411,0.0152
0.6517,0.0000
0.6623,0.0102
0.6728,0.0000
0.6834,0.0102
0.6940,0.0000
0.7046,0.0051
0.7152,0.0051
0.7258,0.0000
0.7364,0.0102
0.7470,0.0000
0.7576,0.0102
0.7682,0.0000
0.7788,0.0102
0.7894,0.0000
0.8000,0.0051
0.8106,0.0000
0.8212,0.0102
0.8318,0.0000
0.8424,0.0102
0.8531,0.0000
0.8637,0.0102
0.8744,0.0000
0.8850,0.0051
0.8957,0.0051
0.9063,0.0000
0.9169,0.0051
0.9277,0.0000
0.9384,0.0102
0.9491,0.0000
0.9597,0.0152
0.9704,0.0000
0.9811,0.0152
0.9919,0.0000
1.0027,0.0102
1.0136,0.0000
1.0244,0.0102
1.0351,0.0000
1.0458,0.0051
1.0566,0.0102
1.0673,0.0000
1.0780,0.0102
1.0887,0.0000
1.0994,0.0102
1.1101,0.0000
1.1207,0.0152
1.1315,0.0000
1.1422,0.0102
1.1529,0.0000
1.1635,0.0102
1.1741,0.0000
1.1847,0.0051
1.1953,0.0000
1.2059,0.0051
1.2165,0.0102
1.2271,0.0000
1.2377,0.0102
1.2482,0.0000
1.2588,0.0102
1.2694,0.0000
1.2800,0.0102
1.2906,0.0000
1.3012,0.0051
1.3118,0.0000
1.3224,0.0102
1.3330,0.0000
1.3436,0.0102
1.3542,0.0000
1.3648,0.0102
1.3754,0.0000
1.3860,0.0000
1.3966,0.0102
1.4072,0.0051
1.4178,0.0102
1.4284,0.0000
1.4390,0.0102
1.4496,0.0000
1.4602,0.0102
1.4707,0.0000
1.4814,0.0102
1.4922,0.0000
1.5028,0.0102
1.5135,0.0000
1.5241,0.0102
1.5347,0.0000
1.5453,0.0102
1.5559,0.0051
1.5665,0.0000
1.5771,0.0102
1.5877,0.0000
1.5983,0.0102
1.6089,0.0000
1.6195,0.0102
1.6301,0.0000
1.6407,0.0102
1.6513,0.0000
1.6619,0.0102
1.6725,0.0000
1.6831,0.0102
1.6938,0.0000
1.7043,0.0102
1.7149,0.0051
1.7255,0.0051
1.7361,0.0051
1.7467,0.0051
1.7573,0.0102
1.7679,0.0000
1.7785,0.0051
1.7891,0.0000
1.7997,0.0102
1.8103,0.0000
1.8209,0.0152
1.8315,0.0000
1.8421,0.0152
1.8528,0.0000
1.8635,0.0152
1.8741,0.0000
1.8848,0.0051
1.8955,0.0051
1.9061,0.0051
1.9168,0.0102
1.9275,0.0000
1.9381,0.0051
1.9488,0.0000
1.9595,0.0102
1.9701,0.0000
1.9809,0.0102
1.9916,0.0000
2.0023,0.0102
2.0132,0.0000
2.0240,0.0102
2.0346,0.0000
2.0453,0.0102
2.0560,0.0051
2.0666,0.0051
2.0773,0.0152
2.0879,0.0000
2.0985,0.0102
2.1091,0.0000
2.1198,0.0102
2.1304,0.0000
2.1411,0.0152
2.1517,0.0000
2.1625,0.0102
2.1732,0.0000
2.1839,0.0102
2.1947,0.0000
2.2054,0.0051
2.2161,0.0051
2.2268,0.0000
2.2375,0.0102
2.2481,0.0000
2.2589,0.0102
2.2695,0.0000
2.2802,0.0152
2.2909,0.0000
2.3015,0.0102
2.3121,0.0000
2.3228,0.0152
2.3334,0.0000
2.3440,0.0102
2.3547,0.0000
2.3654,0.0051
2.3760,0.0051
2.3867,0.0000
2.3974,0.0152
2.4080,0.0000
2.4187,0.0152
2.4293,0.0000
2.4400,0.0102
2.4507,0.0000
2.4613,0.0102
2.4720,0.0000
2.4828,0.0102
2.4936,0.0000
2.5044,0.0102
2.5151,0.0000
2.5258,0.0051
2.5365,0.0051
2.5472,0.0051
2.5579,0.0102
2.5685,0.0000
2.5792,0.0102
2.5898,0.0000
2.6004,0.0102
2.6111,0.0000
2.6217,0.0102
2.6323,0.0000
2.6430,0.0152
2.6536,0.0000
2.6642,0.0051
2.6748,0.0000
2.6856,0.0102
2.6962,0.0051
2.7069,0.0000
2.7176,0.0102
2.7282,0.0000
2.7389,0.0102
2.7496,0.0000
2.7603,0.0102
2.7709,0.0000
2.7816,0.0102
2.7923,0.0000
2.8029,0.0102
2.8136,0.0000
2.8243,0.0102
2.8349,0.0000
2.8456,0.0051
2.8564,0.0051
2.8672,0.0000
2.8779,0.0102
2.8886,0.0000
2.8994,0.0102
2.9100,0.0000
2.9207,0.0102
2.9313,0.0000
2.9420,0.0051
2.9526,0.0000
2.9633,0.0152
2.9739,0.0000
2.9847,0.0102
2.9954,0.0000
3.0062,0.0051
3.0168,0.0051
3.0275,0.0000
3.0381,0.0102
3.0488,0.0000
3.0594,0.0102
3.0701,0.0000
3.0807,0.0152
3.0913,0.0000
3.1020,0.0102
3.1127,0.0000
3.1233,0.0152
3.1340,0.0000
3.1446,0.0051
3.1553,0.0000
3.1659,0.0051
3.1765,0.0051
3.1872,0.0000
3.1978,0.0102
3.2085,0.0000
3.2192,0.0102
3.2298,0.0000
3.2405,0.0102
3.2511,0.0000
3.2618,0.0152
3.2725,0.0000
3.2831,0.0102
3.2938,0.0000
3.3045,0.0102
3.3151,0.0000
3.3258,0.0000
3.3365,0.0051
3.3471,0.0000
3.3578,0.0051
3.3685,0.0000
3.3791,0.0152
3.3898,0.0000
3.4004,0.0102
3.4111,0.0000
3.4218,0.0102
3.4324,0.0000
3.4431,0.0152
3.4538,0.0000
3.4645,0.0102
3.4753,0.0000
3.4860,0.0051
3.4968,0.0051
3.5076,0.0000
3.5183,0.0102
3.5290,0.0000
3.5396,0.0152
3.5502,0.0000
3.5609,0.0102
3.5715,0.0000
3.5821,0.0152
3.5927,0.0000
3.6034,0.0102
3.6140,0.0000
3.6247,0.0102
3.6353,0.0051
3.6460,0.0000
3.6567,0.0051
3.6674,0.0051
3.6780,0.0102
3.6887,0.0000
3.6994,0.0152
3.7100,0.0000
3.7207,0.0102
3.7314,0.0000
3.7420,0.0102
3.7527,0.0000
3.7634,0.0102
3.7740,0.0000
3.7847,0.0051
3.7953,0.0051
3.8060,0.0051
3.8167,0.0051
3.8273,0.0000
3.8380,0.0102
3.8486,0.0000
3.8593,0.0102
3.8700,0.0000
3.8806,0.0152
3.8913,0.0000
3.9019,0.0051
3.9126,0.0000
3.9233,0.0102
3.9340,0.0000
3.9447,0.0102
3.9554,0.0000
3.9661,0.0000
3.9768,0.0051
3.9876,0.0000
3.9983,0.0051
4.0090,0.0000
4.0197,0.0152
4.0304,0.0000
4.0411,0.0102
4.0517,0.0000
4.0624,0.0152
4.0730,0.0000
4.0837,0.0051
4.0944,0.0000
4.1050,0.0051
4.1156,0.0051
4.1262,0.0000
4.1369,0.0051
4.1475,0.0000
4.1582,0.0102
