с,В
3.4008,0.0051
3.4115,0.0051
3.4221,0.0000
3.4328,0.0102
3.4434,0.0000
3.4541,0.0102
3.4648,0.0000
3.4754,0.0102
3.4861,0.0000
3.4968,0.0102
3.5074,0.0000
3.5181,0.0102
3.5288,0.0000
3.5395,0.0051
3.5501,0.0051
3.5608,0.0000
3.5714,0.0102
3.5821,0.0000
3.5928,0.0102
3.6035,0.0000
3.6143,0.0102
3.6251,0.0000
3.6358,0.0102
3.6464,0.0000
3.6571,0.0102
3.6677,0.0000
3.6783,0.0102
3.6890,0.0000
3.6996,0.0102
3.7102,0.0051
3.7209,0.0000
3.7316,0.0051
3.7422,0.0000
3.7529,0.0102
3.7635,0.0000
3.7742,0.0102
3.7849,0.0000
3.7955,0.0102
3.8061,0.0000
3.8168,0.0152
3.8275,0.0000
3.8383,0.0152
3.8490,0.0051
3.8597,0.0051
3.8704,0.0051
3.8810,0.0051
3.8917,0.0102
3.9024,0.0000
3.9130,0.0102
3.9237,0.0000
3.9344,0.0102
3.9450,0.0000
3.9557,0.0152
3.9663,0.0000
3.9770,0.0102
3.9876,0.0000
3.9982,0.0102
4.0089,0.0000
4.0195,0.0051
4.0302,0.0000
4.0409,0.0051
4.0516,0.0102
4.0623,0.0000
4.0729,0.0102
4.0836,0.0000
4.0943,0.0102
4.1050,0.0000
4.1157,0.0102
4.1265,0.0000
4.1373,0.0152
4.1479,0.0000
4.1586,0.0051
4.1693,0.0000
4.1799,0.0051
4.1905,0.0051
4.2012,0.0000
4.2118,0.0051
4.2224,0.0000
4.2330,0.0102
4.2438,0.0000
4.2544,0.0102
4.2651,0.0000
4.2758,0.0102
4.2864,0.0000
4.2971,0.0152
4.3077,0.0000
4.3184,0.0051
4.3291,0.0000
4.3398,0.0051
4.3505,0.0051
4.3611,0.0000
4.3718,0.0102
4.3824,0.0000
4.3931,0.0152
4.4038,0.0000
4.4144,0.0102
4.4252,0.0000
4.4360,0.0152
4.4466,0.0000
4.4573,0.0102
4.4680,0.0000
4.4786,0.0102
4.4893,0.0000
4.5000,0.0102
4.5106,0.0102
4.5213,0.0000
4.5319,0.0102
4.5426,0.0000
4.5533,0.0051
4.5640,0.0000
4.5747,0.0102
4.5853,0.0000
4.5960,0.0102
4.6068,0.0000
4.6176,0.0102
4.6283,0.0000
4.6391,0.0051
4.6497,0.0051
4.6604,0.0051
4.6711,0.0102
4.6817,0.0000
4.6923,0.0051
4.7030,0.0000
4.7136,0.0152
4.7243,0.0000
4.7349,0.0152
4.7456,0.0000
4.7563,0.0102
4.7670,0.0000
4.7776,0.0102
4.7883,0.0051
4.7989,0.0102
4.8096,0.0000
4.8202,0.0051
4.8309,0.0102
4.8416,0.0000
4.8522,0.0051
4.8629,0.0000
4.8736,0.0102
4.8843,0.0000
4.8949,0.0102
4.9056,0.0000
4.9163,0.0051
4.9269,0.0000
4.9376,0.0152
4.9483,0.0051
4.9589,0.0102
4.9696,0.0051
4.9802,0.0000
4.9909,0.0051
5.0016,0.0051
5.0122,0.0102
5.0230,0.0000
5.0337,0.0102
5.0445,0.0000
5.0552,0.0102
5.0659,0.0000
5.0765,0.0051
5.0872,0.0000
5.0978,0.0102
5.1087,0.0000
5.1194,0.0051
5.1302,0.0051
5.1409,0.0000
5.1517,0.0102
5.1623,0.0000
5.1730,0.0102
5.1837,0.0000
5.1943,0.0102
5.2049,0.0000
5.2155,0.0102
5.2262,0.0000
5.2368,0.0102
5.2474,0.0000
5.2581,0.0051
5.2688,0.0051
5.2795,0.0000
5.2901,0.0051
5.3008,0.0000
5.3115,0.0102
5.3221,0.0000
5.3328,0.0152
5.3435,0.0000
5.3542,0.0102
5.3649,0.0000
5.3755,0.0102
5.3862,0.0000
5.3968,0.0102
5.4075,0.0000
5.4182,0.0051
5.4288,0.0000
5.4395,0.0051
5.4501,0.0051
5.4608,0.0000
5.4715,0.0102
5.4821,0.0000
5.4928,0.0051
5.5035,0.0000
5.5142,0.0102
5.5248,0.0000
5.5355,0.0152
5.5462,0.0000
5.5568,0.0102
5.5675,0.0000
5.5781,0.0051
5.5888,0.0000
5.5995,0.0000
5.6103,0.0102
5.6210,0.0000
5.6318,0.0102
5.6426,0.0000
5.6533,0.0152
5.6639,0.0000
5.6746,0.0102
5.6853,0.0000
5.6959,0.0102
5.7065,0.0000
5.7172,0.0102
5.7278,0.0051
5.7384,0.0051
5.7490,0.0051
5.7597,0.0000
5.7703,0.0051
5.7809,0.0000
5.7916,0.0102
5.8022,0.0000
5.8129,0.0051
5.8235,0.0000
5.8342,0.0102
5.8449,0.0000
5.8555,0.0152
5.8662,0.0000
5.8769,0.0102
5.8875,0.0000
5.8981,0.0102
5.9087,0.0051
5.9193,0.0051
5.9299,0.0051
5.9406,0.0000
5.9512,0.0102
5.9618,0.0000
5.9724,0.0102
5.9830,0.0000
5.9936,0.0102
6.0043,0.0000
6.0149,0.0102
6.0255,0.0000
6.0361,0.0102
6.0467,0.0000
6.0574,0.0051
6.0680,0.0000
6.0786,0.0051
6.0893,0.0102
6.0999,0.0000
6.1106,0.0102
6.1214,0.0000
6.1320,0.0102
6.1427,0.0000
6.1533,0.0102
6.1640,0.0000
6.1746,0.0152
6.1852,0.0000
6.1958,0.0102
6.2064,0.0000
6.2170,0.0051
6.2277,0.0000
6.2384,0.0051
6.2490,0.0051
6.2597,0.0000
6.2703,0.0051
6.2809,0.0000
6.2915,0.0102
6.3021,0.0000
6.3127,0.0102
6.3233,0.0000
6.3340,0.0102
6.3446,0.0000
6.3552,0.0102
6.3658,0.0000
6.3764,0.0102
6.3871,0.0000
6.3977,0.0051
6.4083,0.0051
6.4189,0.0051
6.4296,0.0051
6.4402,0.0000
6.4508,0.0102
6.4614,0.0000
6.4720,0.0102
6.4827,0.0000
6.4933,0.0102
6.5039,0.0000
6.5145,0.0102
6.5252,0.0000
6.5358,0.0102
6.5464,0.0000
6.5570,0.0051
6.5676,0.0051
6.5782,0.0102
6.5889,0.0051
6.5995,0.0000
6.6102,0.0102
6.6209,0.0000
6.6316,0.0152
6.6423,0.0000
6.6529,0.0102
6.6635,0.0000
6.6742,0.0102
6.6848,0.0000
6.6954,0.0102
6.7060,0.0000
6.7166,0.0102
6.7273,0.0000
6.7379,0.0051
6.7485,0.0051
6.7592,0.0000
6.7698,0.0102
6.7804,0.0000
6.7910,0.0102
6.8016,0.0000
6.8123,0.0102
6.8230,0.0000
6.8336,0.0102
6.8443,0.0000
6.8549,0.0102
6.8655,0.0000
6.8761,0.0102
6.8869,0.0000
6.8975,0.0051
6.9081,0.0000
6.9188,0.0000
6.9294,0.0102
6.9400,0.0000
6.9506,0.0102
6.9613,0.0000
6.9719,0.0102
6.9825,0.0000
6.9931,0.0102
7.0038,0.0000
7.0144,0.0102
7.0250,0.0000
7.0356,0.0102
7.0463,0.0000
7.0569,0.0051
7.0675,0.0000
7.0782,0.0102
7.0888,0.0102
7.0995,0.0000
7.1101,0.0051
7.1208,0.0000
7.1315,0.0102
7.1421,0.0000
7.1527,0.0102
7.1634,0.0000
7.1740,0.0152
7.1846,0.0000
7.1952,0.0102
7.2059,0.0000
7.2165,0.0051
7.2271,0.0000
7.2377,0.0000
7.2483,0.0051
7.2590,0.0051
7.2696,0.0051
7.2802,0.0000
7.2908,0.0102
7.3014,0.0000
7.3121,0.0102
7.3227,0.0000
7.3334,0.0102
7.3440,0.0000
7.3546,0.0102
7.3653,0.0000
7.3759,0.0102
7.3865,0.0000
7.3971,0.0102
7.4077,0.0000
7.4184,0.0000
7.4290,0.0102
7.4397,0.0000
7.4503,0.0152
7.4609,0.0000
7.4715,0.0102
7.4821,0.0000
7.4927,0.0102
7.5034,0.0000
7.5140,0.0102
7.5246,0.0000
7.5353,0.0102
7.5459,0.0000
7.5565,0.0102
7.5672,0.0000
7.5778,0.0000
7.5884,0.0102
7.5990,0.0000
7.6097,0.0102
7.6204,0.0000
7.6311,0.0152
7.6418,0.0000
7.6524,0.0102
7.6630,0.0000
7.6736,0.0102
7.6843,0.0000
7.6949,0.0102
7.7055,0.0051
7.7161,0.0051
7.7267,0.0000
7.7374,0.0051
7.7480,0.0102
7.7586,0.0051
7.7693,0.0051
7.7799,0.0000
7.7905,0.0152
7.8011,0.0000
7.8117,0.0051
7.8224,0.0000
7.8330,0.0102
7.8437,0.0000
7.8543,0.0102
7.8649,0.0000
7.8755,0.0152
7.8861,0.0000
7.8967,0.0051
7.9073,0.0051
7.9180,0.0051
7.9286,0.0051
7.9392,0.0000
7.9498,0.0102
7.9605,0.0000
7.9711,0.0102
7.9817,0.0000
7.9923,0.0102
8.0029,0.0000
8.0135,0.0152
8.0242,0.0000
8.0349,0.0102
8.0455,0.0000
8.0561,0.0051
8.0668,0.0000
8.0774,0.0051
8.0880,0.0051
8.0986,0.0000
8.1093,0.0102
8.1202,0.0000
8.1309,0.0102
8.1416,0.0000
8.1522,0.0102
8.1629,0.0000
8.1735,0.0102
8.1841,0.0000
8.1947,0.0102
8.2054,0.0000
8.2160,0.0102
8.2266,0.0000
8.2373,0.0051
8.2479,0.0051
8.2586,0.0000
8.2692,0.0051
8.2798,0.0000
8.2904,0.0102
8.3010,0.0000
8.3117,0.0102
8.3223,0.0000
8.3329,0.0102
8.3435,0.0000
8.3542,0.0102
8.3648,0.0000
8.3754,0.0051
8.3860,0.0000
8.3966,0.0102
8.4073,0.0000
8.4179,0.0051
8.4285,0.0051
8.4391,0.0000
8.4498,0.0102
8.4605,0.0000
8.4711,0.0102
8.4817,0.0000
8.4924,0.0152
8.5030,0.0000
8.5137,0.0102
8.5243,0.0000
8.5350,0.0102
8.5456,0.0000
8.5564,0.0051
8.5670,0.0051
8.5777,0.0051
8.5883,0.0051
8.5991,0.0000
8.6098,0.0102
8.6206,0.0000
8.6315,0.0102
8.6422,0.0000
8.6529,0.0102
8.6635,0.0000
8.6742,0.0102
8.6848,0.0000
8.6954,0.0051
8.7061,0.0000
8.7167,0.0102
8.7273,0.0051
8.7380,0.0051
8.7486,0.0051
8.7593,0.0000
8.7699,0.0102
8.7806,0.0000
8.7912,0.0102
8.8019,0.0000
8.8125,0.0102
8.8232,0.0000
8.8339,0.0152
8.8446,0.0000
8.8553,0.0051
8.8659,0.0000
8.8766,0.0051
8.8873,0.0051
8.8979,0.0000
8.9086,0.0152
8.9192,0.0000
8.9299,0.0102
8.9406,0.0000
8.9512,0.0102
8.9619,0.0000
8.9726,0.0102
8.9832,0.0000
8.9939,0.0152
9.0045,0.0000
9.0152,0.0102
9.0259,0.0000
9.0365,0.0051
9.0472,0.0051
9.0579,0.0000
9.0685,0.0102
9.0792,0.0000
9.0898,0.0102
9.1006,0.0000
9.1114,0.0152
9.1221,0.0000
9.1330,0.0102
9.1437,0.0000
9.1544,0.0152
9.1651,0.0000
9.1757,0.0051
9.1864,0.0051
9.1970,0.0051
9.2076,0.0051
9.2183,0.0000
9.2290,0.0051
9.2396,0.0000
9.2503,0.0152
9.2610,0.0000
9.2716,0.0051
9.2823,0.0000
9.2929,0.0102
9.3036,0.0000
9.3143,0.0102
9.3249,0.0000
9.3356,0.0051
9.3463,0.0051
9.3569,0.0051
9.3676,0.0102
9.3783,0.0000
9.3889,0.0102
9.3996,0.0000
9.4102,0.0152
9.4209,0.0102
9.4316,0.0152
9.4422,0.0000
9.4529,0.0102
9.4635,0.0000
9.4742,0.0102
9.4848,0.0000
9.4955,0.0102
9.5062,0.0000
9.5169,0.0051
9.5275,0.0000
9.5382,0.0051
9.5488,0.0051
9.5595,0.0000
