с,В
0.0006,0.0102
0.0113,0.0102
0.0221,0.0000
0.0329,0.0051
0.0437,0.0051
0.0545,0.0000
0.0653,0.0102
0.0760,0.0000
0.0867,0.0102
0.0974,0.0000
0.1083,0.0152
0.1192,0.0000
0.1299,0.0102
0.1406,0.0000
0.1514,0.0102
0.1621,0.0000
0.1728,0.0000
0.1836,0.0102
0.1943,0.0000
0.2052,0.0051
0.2159,0.0000
0.2266,0.0152
0.2374,0.0000
0.2481,0.0102
0.2590,0.0000
0.2697,0.0152
0.2804,0.0000
0.2910,0.0102
0.3016,0.0000
0.3122,0.0051
0.3228,0.0051
0.3333,0.0000
0.3439,0.0051
0.3545,0.0000
0.3651,0.0051
0.3758,0.0000
0.3864,0.0102
0.3970,0.0000
0.4076,0.0102
0.4182,0.0000
0.4288,0.0102
0.4394,0.0000
0.4499,0.0102
0.4605,0.0000
0.4711,0.0102
0.4817,0.0000
0.4923,0.0102
0.5029,0.0000
0.5135,0.0051
0.5241,0.0102
0.5347,0.0000
0.5453,0.0102
0.5560,0.0000
0.5667,0.0102
0.5773,0.0000
0.5879,0.0102
0.5985,0.0000
0.6091,0.0102
0.6197,0.0000
0.6303,0.0102
0.6409,0.0000
0.6515,0.0051
0.6621,0.0000
0.6727,0.0051
0.6833,0.0051
0.6939,0.0051
0.7045,0.0051
0.7150,0.0000
0.7257,0.0102
0.7363,0.0000
0.7469,0.0152
0.7575,0.0000
0.7681,0.0051
0.7787,0.0000
0.7893,0.0102
0.8000,0.0000
0.8106,0.0102
0.8212,0.0000
0.8318,0.0051
0.8425,0.0051
0.8531,0.0051
0.8637,0.0051
0.8744,0.0000
0.8850,0.0102
0.8956,0.0000
0.9063,0.0051
0.9170,0.0000
0.9276,0.0102
0.9383,0.0000
0.9490,0.0102
0.9596,0.0000
0.9703,0.0051
0.9810,0.0000
0.9916,0.0102
1.0023,0.0051
1.0130,0.0051
1.0236,0.0051
1.0343,0.0000
1.0449,0.0152
1.0558,0.0000
1.0665,0.0102
1.0772,0.0000
1.0880,0.0102
1.0987,0.0000
1.1094,0.0102
1.1201,0.0000
1.1307,0.0051
1.1413,0.0000
1.1519,0.0102
1.1626,0.0051
1.1732,0.0051
1.1838,0.0102
1.1945,0.0000
1.2051,0.0102
1.2157,0.0000
1.2264,0.0102
1.2371,0.0000
1.2477,0.0102
1.2584,0.0000
1.2690,0.0051
1.2797,0.0000
1.2904,0.0152
1.3010,0.0000
1.3117,0.0051
1.3225,0.0000
1.3332,0.0051
1.3440,0.0051
1.3547,0.0000
1.3654,0.0102
1.3761,0.0000
1.3867,0.0102
1.3974,0.0000
1.4081,0.0102
1.4188,0.0000
1.4296,0.0102
1.4402,0.0000
1.4509,0.0102
1.4615,0.0000
1.4721,0.0102
1.4828,0.0000
1.4934,0.0000
1.5041,0.0102
1.5147,0.0000
1.5253,0.0102
1.5361,0.0000
1.5468,0.0102
1.5575,0.0000
1.5683,0.0102
1.5790,0.0000
1.5898,0.0152
1.6004,0.0000
1.6111,0.0102
1.6218,0.0000
1.6325,0.0102
1.6433,0.0051
1.6539,0.0000
1.6646,0.0102
1.6752,0.0000
1.6858,0.0102
1.6965,0.0000
1.7071,0.0152
1.7177,0.0000
1.7284,0.0152
1.7390,0.0000
1.7497,0.0152
1.7604,0.0000
1.7710,0.0102
1.7817,0.0000
1.7924,0.0051
1.8030,0.0051
1.8137,0.0000
1.8243,0.0051
1.8350,0.0000
1.8457,0.0152
1.8564,0.0000
1.8670,0.0102
1.8777,0.0000
1.8883,0.0102
1.8990,0.0000
1.9096,0.0152
1.9203,0.0000
1.9311,0.0102
1.9418,0.0000
1.9525,0.0051
1.9632,0.0051
1.9739,0.0000
1.9845,0.0051
1.9952,0.0000
2.0058,0.0102
2.0165,0.0000
2.0272,0.0102
2.0378,0.0000
2.0484,0.0102
2.0592,0.0000
2.0699,0.0102
2.0806,0.0000
2.0913,0.0102
2.1020,0.0000
2.1127,0.0051
2.1234,0.0102
2.1341,0.0051
2.1447,0.0102
2.1554,0.0000
2.1660,0.0102
2.1767,0.0000
2.1873,0.0051
2.1979,0.0000
2.2086,0.0102
2.2192,0.0000
2.2299,0.0102
2.2405,0.0000
2.2511,0.0102
2.2618,0.0000
2.2726,0.0051
2.2832,0.0051
2.2939,0.0000
2.3045,0.0051
2.3152,0.0000
2.3258,0.0102
2.3365,0.0000
2.3472,0.0152
2.3578,0.0000
2.3685,0.0102
2.3791,0.0000
2.3898,0.0102
2.4005,0.0000
2.4111,0.0102
2.4218,0.0000
2.4324,0.0102
2.4431,0.0000
2.4537,0.0000
2.4644,0.0102
2.4751,0.0051
2.4858,0.0102
2.4965,0.0000
2.5071,0.0102
2.5178,0.0000
2.5285,0.0102
2.5392,0.0000
2.5499,0.0102
2.5607,0.0000
2.5714,0.0102
2.5821,0.0000
2.5928,0.0000
2.6035,0.0102
2.6141,0.0000
2.6247,0.0102
2.6354,0.0000
2.6460,0.0102
2.6566,0.0000
2.6672,0.0051
2.6778,0.0000
2.6886,0.0102
2.6993,0.0000
2.7099,0.0102
2.7206,0.0000
2.7312,0.0102
2.7419,0.0051
2.7526,0.0102
2.7632,0.0051
2.7739,0.0000
2.7845,0.0051
2.7952,0.0000
2.8059,0.0102
2.8165,0.0000
2.8272,0.0102
2.8378,0.0000
2.8485,0.0102
2.8591,0.0000
2.8698,0.0102
2.8805,0.0000
2.8912,0.0102
2.9019,0.0000
2.9127,0.0051
2.9234,0.0051
2.9342,0.0000
2.9449,0.0102
2.9556,0.0000
2.9662,0.0102
2.9769,0.0000
2.9876,0.0102
2.9983,0.0000
3.0089,0.0102
3.0196,0.0000
3.0303,0.0102
3.0409,0.0000
3.0515,0.0102
3.0622,0.0000
3.0729,0.0051
3.0835,0.0051
3.0942,0.0000
3.1048,0.0051
3.1154,0.0000
3.1260,0.0152
3.1366,0.0000
3.1472,0.0152
3.1579,0.0000
3.1685,0.0152
3.1791,0.0000
3.1897,0.0102
3.2003,0.0000
3.2109,0.0102
3.2215,0.0000
3.2321,0.0051
3.2427,0.0051
3.2533,0.0000
3.2639,0.0051
3.2745,0.0051
3.2851,0.0051
3.2957,0.0000
3.3063,0.0102
3.3169,0.0000
3.3274,0.0102
3.3380,0.0000
3.3486,0.0152
3.3592,0.0000
3.3698,0.0152
3.3804,0.0000
3.3910,0.0102
3.4016,0.0000
3.4122,0.0051
3.4228,0.0000
3.4334,0.0051
3.4440,0.0000
3.4546,0.0000
3.4652,0.0102
3.4758,0.0000
3.4864,0.0051
3.4969,0.0000
3.5075,0.0152
3.5181,0.0000
3.5287,0.0102
3.5393,0.0000
3.5499,0.0102
3.5606,0.0000
3.5713,0.0102
3.5819,0.0000
3.5926,0.0102
3.6032,0.0000
3.6138,0.0000
3.6244,0.0102
3.6350,0.0000
3.6456,0.0102
3.6562,0.0051
3.6667,0.0102
3.6773,0.0000
3.6879,0.0102
3.6985,0.0000
3.7092,0.0152
3.7198,0.0000
3.7305,0.0102
3.7412,0.0000
3.7519,0.0102
3.7626,0.0000
3.7732,0.0000
3.7839,0.0051
3.7945,0.0051
3.8052,0.0102
3.8158,0.0000
3.8264,0.0152
3.8371,0.0000
3.8477,0.0102
3.8584,0.0000
3.8690,0.0152
3.8797,0.0000
3.8903,0.0102
3.9009,0.0000
3.9117,0.0152
3.9224,0.0000
3.9330,0.0000
3.9437,0.0051
3.9544,0.0000
