с,В
3.4043,0.0000
3.4149,0.0102
3.4255,0.0000
3.4362,0.0102
3.4468,0.0000
3.4574,0.0051
3.4681,0.0102
3.4787,0.0000
3.4893,0.0102
3.5001,0.0000
3.5107,0.0051
3.5214,0.0000
3.5321,0.0102
3.5427,0.0000
3.5534,0.0102
3.5641,0.0000
3.5747,0.0102
3.5854,0.0000
3.5961,0.0051
3.6068,0.0000
3.6174,0.0051
3.6281,0.0051
3.6387,0.0000
3.6494,0.0051
3.6601,0.0000
3.6707,0.0102
3.6814,0.0000
3.6920,0.0152
3.7027,0.0000
3.7134,0.0102
3.7241,0.0000
3.7349,0.0102
3.7456,0.0000
3.7563,0.0051
3.7670,0.0051
3.7777,0.0051
3.7884,0.0051
3.7990,0.0000
3.8097,0.0102
3.8204,0.0000
3.8311,0.0102
3.8419,0.0000
3.8527,0.0102
3.8635,0.0000
3.8742,0.0102
3.8849,0.0000
3.8957,0.0102
3.9063,0.0000
3.9170,0.0051
3.9278,0.0051
3.9385,0.0000
3.9491,0.0102
3.9597,0.0000
3.9704,0.0102
3.9810,0.0000
3.9916,0.0152
4.0023,0.0000
4.0129,0.0152
4.0235,0.0000
4.0343,0.0102
4.0450,0.0000
4.0556,0.0102
4.0663,0.0000
4.0769,0.0051
4.0876,0.0000
4.0983,0.0051
4.1089,0.0051
4.1197,0.0000
4.1303,0.0051
4.1410,0.0000
4.1516,0.0203
4.1623,0.0000
4.1730,0.0152
4.1836,0.0000
4.1943,0.0102
4.2050,0.0000
4.2157,0.0102
4.2263,0.0051
4.2370,0.0051
4.2477,0.0051
4.2584,0.0000
4.2690,0.0102
4.2797,0.0051
4.2904,0.0102
4.3010,0.0000
4.3117,0.0051
4.3224,0.0051
4.3331,0.0102
4.3439,0.0000
4.3547,0.0102
4.3654,0.0000
4.3762,0.0102
4.3869,0.0000
4.3976,0.0051
4.4083,0.0051
4.4190,0.0000
4.4296,0.0102
4.4403,0.0000
4.4511,0.0102
4.4617,0.0000
4.4723,0.0102
4.4830,0.0000
4.4936,0.0102
4.5042,0.0000
4.5149,0.0102
4.5255,0.0000
4.5361,0.0102
4.5468,0.0000
4.5575,0.0051
4.5682,0.0102
