с,В
0.0006,0.0102
0.0114,0.0203
0.0222,0.0000
0.0331,0.0051
0.0439,0.0000
0.0546,0.0051
0.0653,0.0051
0.0760,0.0051
0.0867,0.0051
0.0975,0.0000
0.1083,0.0102
0.1192,0.0000
0.1300,0.0102
0.1407,0.0000
0.1514,0.0102
0.1622,0.0000
0.1731,0.0152
0.1839,0.0000
0.1947,0.0152
0.2054,0.0000
0.2162,0.0051
0.2269,0.0051
0.2376,0.0000
0.2482,0.0102
0.2588,0.0000
0.2694,0.0102
0.2800,0.0000
0.2906,0.0102
0.3012,0.0000
0.3118,0.0102
0.3224,0.0000
0.3332,0.0102
0.3439,0.0000
0.3545,0.0051
0.3651,0.0000
0.3757,0.0102
0.3863,0.0051
0.3969,0.0000
0.4075,0.0102
0.4181,0.0000
0.4287,0.0102
0.4393,0.0000
0.4500,0.0152
0.4606,0.0000
0.4712,0.0102
0.4818,0.0000
0.4924,0.0102
0.5030,0.0000
0.5137,0.0102
0.5243,0.0000
0.5349,0.0051
0.5455,0.0000
0.5561,0.0000
0.5667,0.0102
0.5772,0.0000
0.5878,0.0102
0.5984,0.0000
0.6090,0.0102
0.6196,0.0000
0.6302,0.0102
0.6408,0.0000
0.6514,0.0102
0.6620,0.0000
0.6726,0.0051
0.6832,0.0000
0.6938,0.0102
0.7044,0.0000
0.7150,0.0051
0.7256,0.0051
0.7362,0.0000
0.7468,0.0102
0.7574,0.0000
0.7680,0.0102
0.7786,0.0000
0.7892,0.0102
0.7998,0.0000
0.8104,0.0102
0.8212,0.0000
0.8319,0.0102
0.8425,0.0000
0.8531,0.0102
0.8638,0.0000
0.8744,0.0102
0.8851,0.0051
0.8957,0.0102
0.9064,0.0102
0.9170,0.0000
0.9277,0.0051
0.9383,0.0000
0.9490,0.0102
0.9596,0.0000
0.9704,0.0102
0.9810,0.0000
0.9917,0.0102
1.0024,0.0000
1.0130,0.0152
1.0237,0.0000
1.0343,0.0051
1.0451,0.0000
1.0559,0.0051
1.0666,0.0051
1.0772,0.0000
1.0879,0.0102
1.0985,0.0000
1.1092,0.0051
1.1198,0.0000
1.1305,0.0102
1.1411,0.0000
1.1518,0.0102
1.1625,0.0000
1.1731,0.0102
1.1838,0.0000
1.1944,0.0051
1.2051,0.0000
1.2157,0.0051
1.2264,0.0051
1.2370,0.0051
1.2477,0.0051
1.2583,0.0000
1.2690,0.0102
1.2796,0.0000
1.2903,0.0102
1.3010,0.0000
1.3116,0.0102
1.3224,0.0000
1.3331,0.0102
1.3439,0.0000
1.3547,0.0102
1.3654,0.0000
1.3762,0.0051
1.3868,0.0051
1.3974,0.0000
1.4081,0.0051
1.4187,0.0051
1.4293,0.0152
1.4400,0.0000
1.4506,0.0102
1.4612,0.0000
1.4719,0.0102
1.4825,0.0000
1.4932,0.0102
1.5038,0.0000
1.5145,0.0102
1.5252,0.0000
1.5359,0.0051
1.5465,0.0051
1.5572,0.0000
1.5679,0.0051
1.5785,0.0000
1.5892,0.0102
1.5999,0.0000
1.6107,0.0102
1.6215,0.0000
1.6322,0.0102
1.6430,0.0000
1.6538,0.0152
1.6645,0.0000
1.6753,0.0051
1.6860,0.0051
1.6967,0.0000
1.7074,0.0051
1.7181,0.0000
1.7288,0.0102
1.7395,0.0000
1.7502,0.0102
1.7614,0.0000
1.7721,0.0152
1.7828,0.0000
1.7935,0.0102
1.8041,0.0000
1.8148,0.0102
1.8255,0.0000
1.8362,0.0051
1.8469,0.0051
1.8575,0.0000
1.8682,0.0051
1.8788,0.0000
1.8894,0.0102
1.9001,0.0000
1.9108,0.0102
1.9214,0.0000
1.9320,0.0102
1.9427,0.0000
1.9533,0.0102
1.9640,0.0000
1.9747,0.0102
1.9854,0.0000
1.9961,0.0051
2.0067,0.0051
2.0173,0.0000
2.0280,0.0102
2.0386,0.0000
2.0493,0.0102
2.0599,0.0000
2.0705,0.0102
2.0812,0.0000
2.0918,0.0102
2.1024,0.0000
2.1131,0.0152
2.1237,0.0000
2.1344,0.0102
2.1451,0.0000
2.1558,0.0051
2.1664,0.0051
2.1771,0.0000
2.1877,0.0102
2.1984,0.0000
2.2091,0.0102
2.2198,0.0000
2.2304,0.0102
2.2412,0.0000
2.2519,0.0102
2.2626,0.0000
2.2733,0.0152
2.2840,0.0000
2.2947,0.0102
2.3054,0.0000
2.3161,0.0102
2.3268,0.0051
2.3376,0.0000
2.3483,0.0152
2.3590,0.0000
2.3697,0.0152
2.3804,0.0000
2.3910,0.0051
2.4017,0.0000
2.4123,0.0102
2.4231,0.0000
2.4337,0.0102
2.4444,0.0000
2.4550,0.0102
2.4656,0.0000
2.4763,0.0000
2.4869,0.0051
2.4976,0.0000
2.5082,0.0102
2.5188,0.0000
2.5296,0.0102
2.5402,0.0000
2.5509,0.0152
2.5616,0.0000
2.5722,0.0102
2.5829,0.0000
2.5936,0.0102
2.6042,0.0000
2.6149,0.0102
2.6256,0.0000
2.6362,0.0051
2.6469,0.0051
2.6576,0.0051
2.6682,0.0051
2.6789,0.0000
2.6896,0.0102
2.7002,0.0000
2.7109,0.0102
2.7215,0.0000
2.7322,0.0152
2.7429,0.0000
2.7536,0.0102
2.7642,0.0000
2.7749,0.0102
2.7856,0.0000
2.7964,0.0051
2.8071,0.0102
2.8179,0.0000
2.8287,0.0051
2.8396,0.0000
2.8504,0.0051
2.8612,0.0051
2.8719,0.0102
2.8826,0.0000
2.8933,0.0102
2.9040,0.0000
2.9146,0.0051
2.9252,0.0000
2.9358,0.0102
2.9465,0.0051
2.9571,0.0051
2.9677,0.0102
2.9783,0.0000
2.9890,0.0102
2.9996,0.0000
3.0102,0.0102
3.0208,0.0000
3.0315,0.0152
3.0421,0.0000
3.0528,0.0102
3.0635,0.0000
3.0742,0.0102
3.0848,0.0000
3.0955,0.0102
3.1062,0.0051
3.1168,0.0051
3.1275,0.0051
3.1382,0.0000
3.1488,0.0051
3.1595,0.0000
3.1702,0.0051
3.1809,0.0000
3.1915,0.0051
3.2022,0.0000
3.2129,0.0152
3.2235,0.0000
3.2342,0.0102
3.2449,0.0000
3.2555,0.0102
3.2662,0.0000
3.2769,0.0051
3.2876,0.0102
3.2982,0.0000
3.3089,0.0102
3.3197,0.0000
3.3304,0.0102
3.3412,0.0000
3.3519,0.0152
3.3626,0.0000
3.3733,0.0152
3.3839,0.0000
3.3945,0.0152
3.4052,0.0000
3.4158,0.0102
3.4264,0.0000
3.4370,0.0051
3.4477,0.0051
3.4584,0.0000
3.4691,0.0051
3.4798,0.0000
3.4905,0.0102
3.5011,0.0000
3.5118,0.0102
3.5224,0.0000
3.5331,0.0102
3.5438,0.0000
3.5544,0.0152
3.5651,0.0000
3.5758,0.0102
3.5864,0.0000
3.5971,0.0000
3.6077,0.0051
3.6184,0.0000
3.6291,0.0102
3.6397,0.0000
3.6504,0.0102
3.6611,0.0000
3.6717,0.0152
3.6824,0.0000
3.6931,0.0102
3.7037,0.0000
3.7144,0.0102
3.7251,0.0000
3.7357,0.0102
3.7464,0.0000
3.7571,0.0051
3.7677,0.0051
3.7784,0.0000
3.7891,0.0051
3.7998,0.0000
3.8104,0.0102
3.8212,0.0000
3.8320,0.0152
3.8427,0.0000
3.8535,0.0102
3.8641,0.0000
3.8749,0.0102
3.8855,0.0000
3.8962,0.0051
3.9068,0.0051
3.9174,0.0000
3.9281,0.0102
3.9387,0.0051
3.9493,0.0102
3.9600,0.0000
3.9706,0.0152
3.9813,0.0000
3.9919,0.0102
4.0026,0.0000
4.0132,0.0102
4.0239,0.0000
4.0346,0.0102
4.0453,0.0000
4.0561,0.0051
4.0668,0.0000
4.0775,0.0000
4.0883,0.0051
4.0990,0.0000
4.1096,0.0102
4.1203,0.0000
4.1309,0.0102
4.1416,0.0000
4.1522,0.0152
4.1629,0.0000
4.1735,0.0102
4.1841,0.0000
4.1949,0.0102
4.2056,0.0000
4.2162,0.0051
4.2269,0.0051
4.2376,0.0051
4.2482,0.0051
4.2589,0.0000
4.2696,0.0102
4.2802,0.0000
4.2909,0.0102
4.3016,0.0000
4.3122,0.0152
4.3230,0.0000
4.3338,0.0102
4.3445,0.0000
4.3553,0.0102
4.3660,0.0000
4.3767,0.0051
4.3873,0.0051
4.3980,0.0000
4.4088,0.0102
4.4194,0.0000
4.4301,0.0102
4.4407,0.0000
4.4514,0.0102
4.4620,0.0000
4.4726,0.0152
4.4833,0.0000
4.4939,0.0102
4.5045,0.0000
4.5152,0.0102
4.5259,0.0000
4.5366,0.0051
4.5472,0.0051
4.5579,0.0000
4.5686,0.0051
4.5792,0.0000
4.5899,0.0051
4.6005,0.0000
4.6112,0.0102
4.6219,0.0000
4.6326,0.0102
4.6434,0.0000
4.6541,0.0102
4.6648,0.0000
4.6755,0.0051
4.6862,0.0000
4.6969,0.0102
4.7075,0.0051
4.7182,0.0000
4.7290,0.0051
4.7397,0.0000
4.7503,0.0051
4.7610,0.0000
4.7716,0.0102
4.7822,0.0000
4.7929,0.0102
4.8035,0.0000
4.8142,0.0102
4.8249,0.0000
4.8357,0.0102
4.8465,0.0000
4.8572,0.0102
4.8679,0.0051
4.8786,0.0000
4.8892,0.0051
4.8999,0.0000
4.9108,0.0102
4.9216,0.0000
4.9324,0.0102
4.9432,0.0000
4.9539,0.0102
4.9647,0.0000
4.9754,0.0102
4.9862,0.0000
4.9970,0.0051
5.0077,0.0051
5.0184,0.0051
5.0290,0.0051
5.0396,0.0051
5.0502,0.0102
5.0608,0.0000
5.0714,0.0152
5.0820,0.0000
5.0926,0.0102
5.1032,0.0000
5.1138,0.0102
5.1244,0.0000
5.1350,0.0152
5.1456,0.0000
5.1562,0.0102
5.1668,0.0000
5.1774,0.0051
5.1880,0.0051
5.1986,0.0000
5.2092,0.0102
5.2198,0.0000
5.2304,0.0102
5.2411,0.0000
5.2517,0.0102
5.2623,0.0000
5.2730,0.0051
5.2836,0.0000
5.2942,0.0102
5.3048,0.0000
5.3154,0.0152
5.3260,0.0051
5.3367,0.0102
5.3473,0.0000
5.3579,0.0000
5.3685,0.0000
5.3791,0.0000
5.3897,0.0102
5.4003,0.0000
5.4110,0.0051
5.4217,0.0000
5.4324,0.0102
5.4431,0.0000
5.4538,0.0102
5.4644,0.0000
5.4751,0.0152
5.4858,0.0000
5.4965,0.0051
5.5072,0.0051
5.5179,0.0051
5.5286,0.0051
5.5393,0.0000
5.5500,0.0102
5.5607,0.0000
5.5715,0.0102
5.5821,0.0000
5.5928,0.0102
5.6036,0.0000
5.6142,0.0102
5.6250,0.0000
5.6356,0.0102
5.6463,0.0000
5.6570,0.0102
5.6677,0.0051
5.6785,0.0000
5.6892,0.0102
5.6999,0.0000
5.7106,0.0051
5.7213,0.0000
5.7320,0.0152
5.7427,0.0000
5.7534,0.0102
5.7642,0.0000
5.7749,0.0102
5.7856,0.0000
5.7964,0.0102
5.8071,0.0051
5.8178,0.0051
5.8286,0.0051
5.8393,0.0000
5.8500,0.0102
5.8607,0.0000
5.8714,0.0152
5.8821,0.0000
5.8929,0.0102
5.9036,0.0000
5.9143,0.0102
5.9250,0.0000
5.9357,0.0102
5.9464,0.0000
5.9571,0.0051
5.9678,0.0102
5.9785,0.0000
5.9893,0.0102
5.9999,0.0000
6.0106,0.0102
6.0213,0.0000
6.0320,0.0102
6.0427,0.0000
6.0534,0.0152
6.0641,0.0000
6.0748,0.0102
6.0856,0.0000
6.0965,0.0102
6.1073,0.0000
6.1181,0.0102
6.1288,0.0051
6.1397,0.0000
6.1505,0.0102
6.1614,0.0000
6.1721,0.0102
6.1828,0.0000
6.1935,0.0102
6.2043,0.0000
6.2149,0.0102
6.2257,0.0000
6.2363,0.0102
6.2471,0.0000
6.2578,0.0102
6.2684,0.0102
6.2791,0.0000
6.2899,0.0102
6.3005,0.0000
6.3112,0.0102
6.3219,0.0000
6.3325,0.0102
6.3433,0.0000
6.3540,0.0102
6.3647,0.0000
6.3755,0.0102
6.3862,0.0000
6.3970,0.0102
6.4077,0.0000
6.4183,0.0000
6.4290,0.0051
6.4397,0.0000
6.4504,0.0102
6.4611,0.0000
6.4718,0.0102
6.4824,0.0000
6.4932,0.0051
6.5039,0.0000
6.5146,0.0102
6.5253,0.0000
6.5360,0.0102
6.5468,0.0000
6.5576,0.0102
6.5683,0.0051
6.5790,0.0051
6.5898,0.0051
6.6006,0.0000
6.6114,0.0102
6.6221,0.0000
6.6328,0.0102
6.6436,0.0000
6.6543,0.0102
6.6651,0.0000
6.6758,0.0152
6.6866,0.0000
6.6973,0.0051
6.7080,0.0051
6.7188,0.0051
6.7296,0.0102
6.7403,0.0000
6.7510,0.0102
6.7617,0.0000
6.7725,0.0102
6.7832,0.0000
6.7939,0.0102
6.8046,0.0000
6.8152,0.0152
6.8259,0.0000
6.8367,0.0102
6.8473,0.0000
6.8579,0.0051
6.8685,0.0051
6.8791,0.0000
6.8897,0.0102
6.9003,0.0000
6.9109,0.0051
6.9215,0.0000
6.9321,0.0051
6.9427,0.0000
6.9533,0.0051
6.9639,0.0000
6.9745,0.0102
6.9851,0.0000
6.9957,0.0102
7.0063,0.0000
7.0169,0.0102
7.0275,0.0000
7.0381,0.0102
7.0487,0.0051
7.0594,0.0051
7.0700,0.0102
7.0806,0.0000
7.0912,0.0102
7.1018,0.0000
7.1124,0.0051
7.1230,0.0000
7.1337,0.0102
7.1443,0.0000
7.1549,0.0102
7.1655,0.0000
7.1761,0.0102
7.1867,0.0000
7.1973,0.0102
7.2079,0.0000
7.2185,0.0051
7.2291,0.0051
7.2397,0.0000
7.2503,0.0102
7.2609,0.0000
7.2715,0.0102
7.2821,0.0000
7.2927,0.0102
7.3033,0.0000
7.3139,0.0102
7.3246,0.0000
7.3353,0.0102
7.3460,0.0000
7.3566,0.0051
7.3673,0.0000
7.3779,0.0051
7.3885,0.0051
7.3992,0.0000
7.4098,0.0102
7.4204,0.0000
7.4311,0.0102
7.4417,0.0000
7.4524,0.0102
7.4631,0.0000
7.4738,0.0102
7.4844,0.0000
7.4951,0.0102
7.5057,0.0000
7.5164,0.0051
7.5271,0.0000
7.5377,0.0102
7.5484,0.0051
7.5591,0.0000
7.5698,0.0102
7.5804,0.0000
7.5911,0.0051
7.6018,0.0000
7.6124,0.0102
7.6231,0.0000
7.6337,0.0102
7.6445,0.0000
7.6553,0.0152
7.6660,0.0000
7.6767,0.0102
7.6873,0.0000
7.6980,0.0000
7.7086,0.0051
7.7193,0.0051
7.7299,0.0102
7.7406,0.0000
7.7512,0.0102
7.7619,0.0000
7.7725,0.0152
7.7832,0.0000
7.7938,0.0102
7.8045,0.0000
7.8152,0.0051
7.8260,0.0000
7.8367,0.0102
7.8475,0.0000
7.8583,0.0051
7.8689,0.0051
7.8796,0.0000
7.8902,0.0051
7.9009,0.0051
7.9115,0.0102
7.9221,0.0000
7.9328,0.0051
7.9434,0.0000
7.9540,0.0051
7.9646,0.0000
7.9753,0.0102
7.9859,0.0000
7.9965,0.0152
8.0072,0.0000
8.0178,0.0102
8.0284,0.0000
8.0390,0.0000
8.0497,0.0051
8.0603,0.0051
8.0710,0.0102
8.0816,0.0000
8.0922,0.0102
8.1028,0.0000
8.1135,0.0051
8.1241,0.0000
8.1347,0.0102
8.1453,0.0000
8.1559,0.0152
8.1666,0.0000
8.1773,0.0102
8.1879,0.0051
8.1986,0.0051
8.2092,0.0000
8.2198,0.0000
8.2304,0.0102
8.2411,0.0000
8.2518,0.0051
8.2625,0.0000
8.2732,0.0152
8.2838,0.0000
8.2944,0.0102
8.3050,0.0000
8.3157,0.0152
8.3264,0.0000
8.3371,0.0102
8.3479,0.0000
8.3585,0.0051
8.3691,0.0051
8.3798,0.0000
8.3905,0.0102
8.4011,0.0000
8.4118,0.0102
8.4224,0.0000
8.4330,0.0254
8.4436,0.0000
8.4543,0.0102
8.4649,0.0051
8.4755,0.0051
8.4862,0.0000
8.4968,0.0102
8.5074,0.0000
8.5180,0.0051
8.5286,0.0051
8.5393,0.0051
8.5499,0.0102
8.5605,0.0000
8.5711,0.0102
8.5818,0.0000
8.5925,0.0102
8.6031,0.0000
8.6137,0.0102
8.6244,0.0000
8.6350,0.0102
8.6456,0.0000
8.6562,0.0102
8.6669,0.0000
8.6775,0.0051
8.6881,0.0051
8.6987,0.0051
8.7094,0.0102
8.7200,0.0000
8.7306,0.0102
8.7412,0.0000
8.7519,0.0102
8.7625,0.0000
8.7731,0.0102
8.7837,0.0000
8.7943,0.0102
8.8050,0.0000
8.8156,0.0152
8.8263,0.0000
8.8370,0.0102
8.8479,0.0000
8.8586,0.0102
8.8692,0.0051
8.8799,0.0051
8.8905,0.0152
8.9013,0.0051
8.9119,0.0152
8.9225,0.0000
8.9331,0.0102
8.9438,0.0000
8.9544,0.0102
8.9650,0.0000
8.9756,0.0051
8.9863,0.0000
8.9969,0.0102
9.0075,0.0000
9.0181,0.0102
9.0287,0.0000
9.0394,0.0051
9.0500,0.0051
9.0606,0.0051
9.0712,0.0102
9.0819,0.0000
9.0925,0.0152
9.1031,0.0000
9.1137,0.0102
9.1244,0.0000
9.1350,0.0102
9.1457,0.0000
9.1563,0.0102
9.1669,0.0000
9.1775,0.0102
9.1882,0.0000
9.1988,0.0051
9.2094,0.0051
9.2200,0.0051
9.2307,0.0102
9.2413,0.0000
9.2519,0.0102
9.2625,0.0000
9.2731,0.0102
9.2838,0.0000
9.2944,0.0102
9.3050,0.0000
9.3156,0.0152
9.3263,0.0000
9.3371,0.0102
9.3477,0.0000
9.3584,0.0102
9.3690,0.0000
9.3796,0.0051
9.3902,0.0051
9.4009,0.0000
9.4116,0.0102
9.4222,0.0000
9.4328,0.0102
9.4436,0.0000
9.4542,0.0102
9.4649,0.0000
9.4755,0.0102
9.4864,0.0000
9.4970,0.0152
9.5076,0.0000
9.5183,0.0102
9.5289,0.0051
9.5396,0.0051
9.5502,0.0000
9.5609,0.0000
9.5715,0.0102
9.5821,0.0000
9.5928,0.0102
9.6035,0.0000
9.6141,0.0102
9.6248,0.0000
9.6354,0.0102
9.6464,0.0000
9.6570,0.0102
9.6677,0.0000
9.6784,0.0102
9.6893,0.0000
9.6999,0.0051
9.7105,0.0102
9.7212,0.0000
9.7319,0.0102
9.7425,0.0000
9.7531,0.0102
9.7638,0.0000
9.7745,0.0152
9.7851,0.0000
9.7957,0.0102
9.8065,0.0000
9.8172,0.0152
9.8279,0.0000
9.8387,0.0051
9.8493,0.0051
9.8600,0.0051
9.8706,0.0051
9.8814,0.0000
9.8920,0.0152
9.9026,0.0000
9.9132,0.0102
9.9239,0.0000
9.9345,0.0102
9.9451,0.0000
9.9558,0.0102
9.9664,0.0000
9.9770,0.0102
9.9876,0.0000
9.9982,0.0102
10.0089,0.0000
10.0195,0.0051
10.0302,0.0051
10.0408,0.0000
10.0516,0.0102
10.0623,0.0000
10.0729,0.0051
10.0836,0.0000
10.0942,0.0102
10.1048,0.0000
10.1155,0.0102
10.1261,0.0000
10.1368,0.0102
10.1474,0.0000
10.1581,0.0102
10.1687,0.0000
10.1794,0.0051
10.1900,0.0102
10.2006,0.0051
10.2112,0.0102
10.2219,0.0000
10.2325,0.0051
10.2431,0.0000
10.2537,0.0102
10.2644,0.0000
10.2750,0.0102
10.2857,0.0000
10.2963,0.0102
10.3069,0.0000
10.3177,0.0051
10.3284,0.0000
10.3392,0.0051
10.3499,0.0102
10.3606,0.0000
10.3712,0.0051
10.3818,0.0051
10.3925,0.0051
10.4031,0.0000
10.4137,0.0102
10.4243,0.0000
10.4350,0.0102
10.4457,0.0000
10.4563,0.0102
10.4670,0.0000
10.4777,0.0102
10.4883,0.0000
10.4991,0.0051
10.5098,0.0051
10.5207,0.0051
10.5313,0.0102
10.5420,0.0000
10.5526,0.0102
10.5633,0.0000
10.5740,0.0102
10.5846,0.0000
10.5953,0.0102
10.6059,0.0000
10.6165,0.0152
10.6272,0.0000
10.6378,0.0102
10.6485,0.0051
10.6592,0.0102
10.6699,0.0000
10.6806,0.0051
10.6913,0.0051
10.7019,0.0000
10.7126,0.0152
10.7232,0.0000
10.7339,0.0102
10.7445,0.0000
10.7552,0.0102
10.7658,0.0000
10.7765,0.0152
10.7872,0.0000
10.7978,0.0102
10.8085,0.0000
10.8193,0.0051
10.8300,0.0051
10.8408,0.0051
10.8515,0.0102
10.8622,0.0000
10.8729,0.0152
10.8835,0.0000
10.8942,0.0102
10.9048,0.0000
10.9155,0.0102
10.9261,0.0000
10.9367,0.0102
10.9474,0.0000
10.9581,0.0102
10.9688,0.0000
