с,В
0.0006,0.0102
0.0114,0.0102
0.0267,0.0051
0.0375,0.0000
0.0485,0.0102
0.0592,0.0000
0.0699,0.0102
0.0805,0.0000
0.0916,0.0102
0.1024,0.0000
0.1133,0.0051
0.1242,0.0000
0.1349,0.0000
0.1457,0.0102
0.1564,0.0000
0.1671,0.0102
0.1778,0.0000
0.1886,0.0102
0.1995,0.0000
0.2102,0.0051
0.2209,0.0000
0.2317,0.0102
0.2424,0.0000
0.2532,0.0051
0.2640,0.0051
0.2749,0.0000
0.2857,0.0102
0.2964,0.0000
0.3071,0.0102
0.3179,0.0000
0.3286,0.0102
0.3393,0.0000
0.3500,0.0102
0.3607,0.0000
0.3715,0.0102
0.3823,0.0000
0.3930,0.0051
0.4037,0.0000
0.4146,0.0051
0.4254,0.0051
0.4362,0.0000
0.4470,0.0102
0.4578,0.0000
0.4685,0.0102
0.4791,0.0051
0.4897,0.0152
0.5003,0.0000
0.5109,0.0102
0.5216,0.0000
0.5322,0.0102
0.5428,0.0000
0.5534,0.0102
0.5640,0.0102
0.5746,0.0000
0.5852,0.0051
0.5958,0.0000
0.6064,0.0051
0.6171,0.0000
0.6279,0.0102
0.6385,0.0000
0.6492,0.0152
0.6598,0.0000
0.6704,0.0102
0.6810,0.0000
0.6916,0.0051
0.7023,0.0051
0.7129,0.0051
0.7235,0.0051
0.7341,0.0051
0.7447,0.0051
0.7553,0.0000
0.7659,0.0102
0.7765,0.0000
0.7871,0.0102
0.7977,0.0000
0.8083,0.0102
0.8189,0.0000
0.8295,0.0102
0.8401,0.0000
0.8507,0.0102
0.8614,0.0000
0.8720,0.0102
0.8826,0.0000
0.8932,0.0051
0.9038,0.0000
0.9144,0.0000
0.9250,0.0051
0.9356,0.0000
0.9462,0.0102
0.9568,0.0000
0.9674,0.0102
0.9780,0.0000
0.9886,0.0102
0.9992,0.0000
1.0099,0.0152
1.0205,0.0000
1.0311,0.0102
1.0417,0.0000
1.0522,0.0102
1.0629,0.0000
1.0735,0.0051
1.0841,0.0051
1.0947,0.0051
1.1053,0.0051
1.1160,0.0000
1.1267,0.0102
1.1373,0.0051
1.1480,0.0102
1.1586,0.0000
1.1692,0.0102
1.1798,0.0000
1.1904,0.0102
1.2010,0.0000
1.2116,0.0152
1.2223,0.0000
1.2328,0.0051
1.2435,0.0000
1.2541,0.0051
1.2647,0.0102
1.2753,0.0051
1.2859,0.0102
1.2965,0.0051
1.3071,0.0102
1.3177,0.0000
1.3283,0.0102
1.3389,0.0000
1.3495,0.0102
1.3601,0.0000
1.3707,0.0102
1.3813,0.0000
1.3919,0.0102
1.4024,0.0000
1.4130,0.0102
1.4236,0.0000
1.4343,0.0051
1.4450,0.0051
1.4557,0.0000
1.4663,0.0102
1.4770,0.0000
1.4876,0.0102
1.4982,0.0000
1.5088,0.0102
1.5194,0.0000
1.5300,0.0102
1.5406,0.0000
1.5513,0.0102
1.5619,0.0000
1.5725,0.0102
1.5832,0.0000
1.5938,0.0051
1.6044,0.0000
1.6150,0.0051
1.6257,0.0051
1.6364,0.0000
1.6471,0.0102
1.6578,0.0000
1.6684,0.0102
1.6790,0.0000
1.6896,0.0102
1.7003,0.0000
1.7110,0.0102
1.7217,0.0000
1.7323,0.0102
1.7430,0.0000
1.7537,0.0051
1.7643,0.0051
1.7749,0.0000
1.7856,0.0051
1.7962,0.0000
1.8068,0.0051
1.8175,0.0000
1.8281,0.0051
1.8388,0.0000
1.8494,0.0102
1.8600,0.0000
1.8706,0.0102
1.8813,0.0000
1.8919,0.0102
1.9025,0.0000
1.9132,0.0051
1.9239,0.0000
1.9345,0.0102
1.9452,0.0051
1.9558,0.0000
1.9664,0.0051
1.9771,0.0000
1.9877,0.0102
1.9983,0.0000
2.0089,0.0051
2.0197,0.0000
2.0303,0.0152
2.0409,0.0000
2.0515,0.0152
2.0622,0.0000
2.0728,0.0102
2.0834,0.0000
2.0940,0.0051
2.1046,0.0051
2.1153,0.0051
2.1260,0.0051
2.1367,0.0051
2.1474,0.0102
2.1581,0.0000
2.1687,0.0102
2.1794,0.0000
2.1900,0.0152
2.2006,0.0000
2.2112,0.0102
2.2219,0.0000
2.2325,0.0152
2.2432,0.0000
2.2538,0.0102
2.2644,0.0000
2.2750,0.0000
2.2857,0.0051
2.2963,0.0000
2.3069,0.0102
2.3176,0.0000
2.3283,0.0102
2.3390,0.0000
2.3496,0.0152
2.3602,0.0000
2.3709,0.0102
2.3815,0.0000
2.3921,0.0102
2.4027,0.0000
2.4133,0.0102
2.4240,0.0000
2.4347,0.0051
2.4453,0.0102
2.4559,0.0000
2.4666,0.0102
2.4772,0.0000
2.4878,0.0102
2.4984,0.0000
2.5091,0.0102
2.5197,0.0000
2.5303,0.0102
2.5409,0.0000
2.5516,0.0102
2.5622,0.0000
2.5728,0.0102
2.5834,0.0000
2.5940,0.0051
2.6047,0.0000
2.6153,0.0051
2.6260,0.0051
2.6367,0.0000
2.6474,0.0051
2.6580,0.0000
2.6687,0.0102
2.6793,0.0000
2.6899,0.0102
2.7005,0.0000
2.7112,0.0152
2.7218,0.0000
2.7324,0.0051
2.7432,0.0000
2.7538,0.0051
2.7645,0.0051
2.7751,0.0000
2.7857,0.0102
2.7963,0.0000
2.8069,0.0102
2.8175,0.0000
2.8282,0.0102
2.8388,0.0000
2.8494,0.0102
2.8601,0.0000
2.8707,0.0152
2.8813,0.0000
2.8919,0.0102
2.9026,0.0000
2.9132,0.0051
2.9239,0.0051
2.9346,0.0102
2.9453,0.0102
2.9559,0.0051
2.9665,0.0051
2.9771,0.0000
2.9878,0.0102
2.9984,0.0000
3.0090,0.0102
3.0196,0.0000
3.0303,0.0102
3.0409,0.0000
3.0515,0.0102
3.0622,0.0000
3.0728,0.0102
3.0834,0.0000
3.0941,0.0051
3.1047,0.0051
3.1153,0.0000
3.1260,0.0102
3.1367,0.0051
3.1474,0.0102
3.1581,0.0000
3.1687,0.0102
3.1794,0.0000
3.1900,0.0102
3.2006,0.0000
3.2112,0.0102
3.2218,0.0000
3.2325,0.0102
3.2431,0.0000
3.2537,0.0051
3.2643,0.0000
3.2749,0.0051
3.2856,0.0051
3.2962,0.0000
3.3068,0.0051
3.3174,0.0000
3.3281,0.0102
3.3387,0.0000
3.3493,0.0102
3.3600,0.0000
3.3707,0.0102
3.3813,0.0000
3.3920,0.0152
3.4027,0.0000
3.4133,0.0102
3.4240,0.0000
3.4347,0.0102
3.4453,0.0051
3.4560,0.0051
3.4667,0.0051
3.4774,0.0000
3.4880,0.0102
3.4987,0.0000
3.5094,0.0102
3.5202,0.0000
3.5309,0.0102
3.5416,0.0000
